id,chapter,section,claim,source_ids,evidence_type,access_limitations,confidence,baseline_units,locator
CL011,02-nature-order-civilization,water-as-an-organizing-line,"The Persian qanat, discussed in UNESCO's separate inscription, brings underground water infrastructure into the same history. Its channels and access shafts depend on terrain, knowledge and collective arrangements. It should not be confused with a fountain or treated as an interchangeable technology for every arid site.",R53,water infrastructure,institutional page,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL012,02-nature-order-civilization,a-roman-house-turns-inward,"The House of the Vettii at Pompeii offers a different kind of constructed interior landscape. The archaeological park identifies a richly decorated residence with a peristyle garden, sculpture and fountains. The house was buried in the eruption of 79 CE; what visitors encounter now includes conservation and restoration. Its imagery, garden and room sequence belong to a socially specific domestic setting.",R05,archaeological account,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL013,03-parallel-traditions,the-alhambra-and-the-inhabited-edge,The Court of the Lions at the Alhambra belongs to the palace built under Muhammad V in the later fourteenth century. The Patronato describes its central fountain as part of a complex hydraulic arrangement and notes disagreement over the historic treatment of the court's four quadrants. The familiar image should therefore not be mistaken for an unchanged original state.,R06,history and disputed reconstruction,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL014,03-parallel-traditions,rani-ki-vav-and-the-descent-to-water,"At Patan in Gujarat, Rani ki Vav makes access to water an architectural descent. UNESCO dates the stepwell to the eleventh century and describes its seven levels and sculptural program, organized as an inverted temple. The site was affected by silting and later recovered through archaeological work. Water infrastructure, sacred imagery and spatial sequence are inseparable in its heritage account.",R07,heritage synthesis,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL015,03-parallel-traditions,suzhou-and-the-world-within-a-garden,"The classical gardens of Suzhou combine buildings, rocks, water, planting, furnishings and literary associations. UNESCO describes the listed gardens as miniature landscapes within urban residential settings, developed across several centuries. Their carefully composed nature is neither a wilderness replica nor an accidental remnant.",R08,heritage synthesis,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL016,03-parallel-traditions,stone-landscapes-in-africa-and-the-pacific,Great Zimbabwe developed as a major settlement and center of power between the medieval centuries covered here. UNESCO attributes its construction to ancestors of Shona communities and identifies the characteristic stone enclosures. Its inclusion resists a global history in which African building appears only as anonymous vernacular background.,R10,heritage synthesis,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL017,03-parallel-traditions,stone-landscapes-in-africa-and-the-pacific,"At Nan Madol in Pohnpei, UNESCO describes a ceremonial center built on artificial islets, with monumental basalt construction and canals. The setting brings shoreline, water movement and authority into architectural organization. The site's conservation problems include vegetation and waterways, demonstrating that the same living processes celebrated in a landscape can also threaten an inherited structure.",R11,heritage synthesis,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL018,04-nature-composed,katsura-and-the-moving-viewpoint,"Katsura Imperial Villa in Kyoto developed during the seventeenth century as a setting of buildings and gardens associated with the Hachijo princely family. The Imperial Household Agency's account describes a garden organized around a pond, with teahouses and routes through the grounds. It is a cultivated ensemble rather than a fragment of untouched landscape.",R09,history and site description,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL019,04-nature-composed,the-garden-and-the-monument,"At the Taj Mahal in Agra, built under Shah Jahan in the seventeenth century, the mausoleum, garden, water and riverfront form a larger composition. UNESCO's account records the marble building and its setting, along with the importance of workmanship and the surrounding ensemble. The garden is part of the architectural meaning rather than a green foreground added after the object was designed.",R54,garden tomb and workmanship,institutional page,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL020,04-nature-composed,versailles-and-the-cost-of-command,"The gardens of Versailles were developed under Louis XIV with Andre Le Notre. The palace's own account describes their major axes, large-scale earthworks, transported trees and extensive labor. Its account of water explains the difficulties of supplying the display. Nature here was composed through substantial technical and political organization.",R14 R51,Le Notre and labor; hydraulic history,French institutional text; French institutional text read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL021,04-nature-composed,productive-landscapes-and-collective-systems,"The Subak landscape of Bali provides a counterpoint to the idea that water organization belongs only to a ruler or an individual estate. UNESCO's inscription describes a cultural landscape of rice terraces and water temples associated with cooperative management. The buildings participate in a system that joins water, cultivation and social organization.",R58,water governance,institutional page,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL022,04-nature-composed,productive-landscapes-and-collective-systems,"Machu Picchu, developed in the fifteenth century, offers another relation between terrain, construction and cultivated ground. UNESCO describes its terraces and buildings within a dramatic mountain setting. The familiar distant view should be supplemented by questions about routes, drainage and the meeting of built and unbuilt surfaces.",R57,terrain and terraces,institutional page,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL023,05-industry-ornament-organic-form,the-glasshouse-makes-a-climate,"Kew's Palm House was built between 1844 and 1848. Kew describes its use of shipbuilding techniques and its purpose as a warm, humid environment for tropical plants. This is a useful reminder that a natural-looking interior can depend on an artificial climate. The enclosure supports a collection by separating some conditions from the surrounding weather.",R17,glasshouse history,institutional text read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL024,05-industry-ornament-organic-form,the-glasshouse-makes-a-climate,"The Crystal Palace for London's Great Exhibition of 1851 brought iron, glass, display and large-scale assembly into another kind of interior. The Victoria and Albert Museum's history situates the exhibition within manufacturing, international exchange and empire. The building should be read both as a construction achievement and as a setting in which objects and peoples were represented through unequal political relationships.",R16,historical synthesis,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL025,05-industry-ornament-organic-form,red-house-and-cultivated-domesticity,"At Red House in Bexleyheath, Philip Webb and William Morris treated house and garden as a related design. The National Trust records restrictions on removing existing planting during construction and describes the use of enclosed garden rooms. Its present-day account also explains that surviving and reconstructed planting should not be confused with an untouched original garden.",R15 R52,design and preservation history; present garden versus original planting,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL026,05-industry-ornament-organic-form,sagrada-familia-as-a-layered-case,The Sagrada Familia in Barcelona is the book's central test of the difference between resemblance and mechanism. Construction began in 1882 under Francisco de Paula del Villar; Antoni Gaudi took over in 1883 and died in 1926. The official chronology records the destruction of workshop material in 1936 and subsequent work from surviving and reconstructed evidence. The completed interior and contemporary construction therefore cannot be attributed to Gaudi's direct supervision alone.,R18,construction chronology,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL027,05-industry-ornament-organic-form,sagrada-familia-as-a-layered-case,"Inside, the branching columns invite a forest comparison. The official geometric explanation also describes a construction of form through mathematical procedures, including double-twist columns. The image of a trunk and branches and the geometric process are related readings, but neither can replace an account of structure, materials and construction.",R20,design explanation,indexed institutional text; direct request blocked,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL028,05-industry-ornament-organic-form,sagrada-familia-as-a-layered-case,The 2026 interior booklet describes hyperboloid geometry in the vaults and openings that distribute light. It also attributes stained-glass work to Joan Vila-Grau. A visitor's experience of colored light belongs to this longer collaborative history. The interior should not be presented as an untouched realization of one person at one date.,R19,geometry and light,official PDF; pages 3-8 consulted,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL029,05-industry-ornament-organic-form,a-construction-still-changing,The official chronology consulted for this book records completion of the exterior of the central Jesus Christ tower in February 2026. That milestone is not equivalent to completion of every part of the basilica. The distinction matters because older accounts frequently present expected completion dates as though they were settled facts.,R18,construction chronology,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL030,06-modern-landscape-climate,fallingwater-and-the-occupied-landscape,"Frank Lloyd Wright's Fallingwater in Pennsylvania was designed for the Kaufmann family in the 1930s. Its terraces, stonework and position over Bear Run establish an unusually close relation to water and rock. The Western Pennsylvania Conservancy presents the house within a wider landscape and preservation mission.",R21,design history,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL031,06-modern-landscape-climate,fallingwater-and-the-occupied-landscape,"The conservation record complicates any simple celebration of seamless integration. Structural reinforcement and continuing maintenance form part of the house's history. A National Park Service technical account also describes the demanding treatment of steel windows, including corner conditions and junctions with stone. The visual disappearance of a boundary does not make its material responsibilities disappear.",R22 R60,conservation evidence; window design and preservation,institutional page read; technical conservation account,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL032,06-modern-landscape-climate,villa-mairea-and-material-variety,"Villa Mairea in Noormarkku, Finland, was developed in the late 1930s for Maire and Harry Gullichsen. The Alvar Aalto Foundation describes varied materials, sapling-like elements at the entrance, an irregular rhythm of poles near the stair and an opening toward the garden. Its visitor account explicitly credits Aino Aalto with the interior design.",R23 R24,Aino Aalto attribution; spatial and material description,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL033,06-modern-landscape-climate,new-gourna-and-the-limits-of-an-architectural-solution,"Hassan Fathy's New Gourna near Luxor began in the 1940s as a relocation project associated with the inhabitants of old Gourna. The World Monuments Fund's community and conservation assessment documents a complex history, including incomplete implementation, changes and residents' concerns. The report is especially valuable because it treats a village as more than a set of exemplary earth buildings.",R26,conservation and community assessment,indexed report extracts; direct web retrieval blocked; no full-report claim,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL034,06-modern-landscape-climate,lunuganga-and-the-garden-over-time,"Geoffrey Bawa acquired the former plantation that became Lunuganga in Sri Lanka in 1948. The Bawa Trust describes a long transformation through paths, views, buildings and planting. Its current visitor information also identifies uneven surfaces and limits to accessibility, a useful corrective to the assumption that a beautiful landscape is equally available to everyone.",R25,site transformation and present access,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL035,06-modern-landscape-climate,physical-form-finding,"Frei Otto's work offers a complementary approach to nature. The Pritzker biography emphasizes experiments, lightweight construction and collaboration. His career extends beyond this chapter's period, including the Munich Olympic roof and later projects. The significance lies in an inquiry into physical behavior, not simply in structures that resemble landscape forms.",R28,form finding and collaboration,institutional biography,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL036,07-ecological-environmental,environmental-responsibility-begins-with-what-exists,"Sesc Pompeia in Sao Paulo transformed an industrial site into a setting for cultural, recreational and everyday public life. Sesc's institutional record names Lina Bo Bardi with Andre Vainer and Marcelo Ferraz and records phases opening between 1982 and 1986. The project makes reuse and shared occupation central to its architectural identity.",R27,authorship and chronology,Portuguese institutional text,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL037,07-ecological-environmental,the-window-becomes-a-research-question,"Roger Ulrich's 1984 study examined hospital records from 1972 to 1981. Its abstract reports a comparison of twenty-three surgical patients with a natural view and twenty-three matched patients facing a brick wall. The natural-view group had shorter postoperative stays, fewer negative comments in nurses' notes and less use of potent analgesics. This book accessed the abstract, not the complete paper.",R31,matched retrospective study,abstract only,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL038,07-ecological-environmental,eastgate-and-the-limits-of-a-persuasive-analogy,"Eastgate Centre in Harare, completed in 1996, is associated with Mick Pearce and an approach to cooling that emphasizes thermal mass and air movement. Pearce's account presents termite mounds as an inspiration and makes strong claims about energy use. Such statements document the designer's explanation; the page alone does not provide the full method and baseline needed to adopt a comparative energy figure.",R30,design intent; performance claims not independently verified,architect statement,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL039,07-ecological-environmental,eastgate-and-the-limits-of-a-persuasive-analogy,J Scott Turner and Rupert Soar's 2008 paper argues that familiar architectural explanations of termite-mound ventilation rest on an inaccurate model of the biological system. Their critique does not mean that a building inspired by an imperfect analogy cannot work. It means that the building's engineering and the organism's biology need to be evaluated separately.,R29,biological critique,author-uploaded paper read selectively,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL040,07-ecological-environmental,solar-design-as-an-integrated-problem,"Passive solar design provides a different relationship with nature: an explicit physical mechanism. The US Department of Energy's consumer guide describes the coordination of collection, absorption, thermal storage, distribution and control. The guide is useful for principles, but its residential framing and climatic assumptions must be considered before applying it to another building type.",R45,design guidance,guide read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL041,08-contemporary-integration,gando-and-the-environmental-section,"Gando Primary School in Burkina Faso, completed in 2001, was designed by Francis Kere with the community of Gando. The architect's record describes clay-cement walls, an overhanging metal roof separated from the occupied interior and a perforated ceiling arrangement intended to support ventilation. The construction responds to material availability, rain and heat rather than relying on a naturalistic silhouette.",R33,design intent and construction,architect page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL042,08-contemporary-integration,gando-and-the-environmental-section,"The Aga Khan award account reports a temperature advantage against a tin-roof alternative, but the short page does not provide the full measurement method and period. This book therefore retains the qualitative explanation without adopting the numerical claim as a transferable result. The distinction protects the architectural lesson from becoming a rule of thumb that travels beyond its evidence.",R34,institutional assessment; thermal claim lacks method on page,award record read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL043,08-contemporary-integration,a-hospital-connected-to-its-landscape,"Khoo Teck Puat Hospital in Singapore brings gardens, water, views and circulation into a healthcare setting. The Living Future case study, based on project reporting, describes its relation to Yishun Pond and the use of planting throughout the hospital environment. It offers useful evidence of design intent and reported experience. It is not equivalent to a controlled clinical trial.",R36,project-reported outcomes,award case study read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL044,08-contemporary-integration,kampung-admiralty-and-shared-access,"WOHA's Kampung Admiralty in Singapore combines housing for older residents with public facilities and services. The architect presents it as a vertically arranged community with a sheltered public ground level and planted communal spaces above. Its significance for this book is the relation between landscape, program and shared occupation.",R35,program and design intent,architect page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL045,08-contemporary-integration,bosco-verticale-and-the-weight-of-living-things,"Bosco Verticale in Milan was developed between 2007 and 2014 by Boeri Studio, with Stefano Boeri, Gianandrea Barreca and Giovanni La Varra. The project record credits botanical consultants Emanuela Borio and Laura Gatti and describes centralized professional maintenance. Trees on projecting balconies are therefore part of a designed and managed assembly, not ordinary houseplants enlarged into a facade.",R37,authorship and maintenance; environmental claims not independent,architect page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL046,08-contemporary-integration,grand-parc-and-the-ordinary-dwelling,"The transformation of 530 dwellings at Grand Parc in Bordeaux offers an important counterpoint. Anne Lacaton and Jean-Philippe Vassal worked with Frederic Druot and Christophe Hutin; the project page also names landscape architect Cyrille Marlin. It describes retaining the existing buildings and adding winter gardens and balconies. The page gives completion as 2016 in its text and 2017 in its header, so this book retains a 2016-2017 date range.",R38,design intent; internal date discrepancy retained,architect page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL047,08-contemporary-integration,what-indoor-plants-can-and-cannot-do,"Cummings and Waring's review, published online in 2019 and in a 2020 journal volume, analyzed reported removal of volatile organic compounds by potted plants. The abstract compares chamber-derived removal rates with ordinary building air exchange and concludes that typical potted plants do not meaningfully clean occupied-building air at practical densities. This book used the abstract, so it does not reproduce detailed study-level methods.",R32,review and quantitative synthesis,abstract only,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL048,09-possible-futures,established-work-that-could-spread,"Much of the opportunity is already visible in the preceding chapters. Preserving a useful building, improving shade, making an outdoor route accessible and protecting existing soil can change how architecture participates in its surroundings. The IPCC's buildings assessment includes sufficiency and embodied emissions alongside operational efficiency. That broader frame makes reducing demand and retaining value legitimate design work, rather than treating novelty as the only form of progress.",R48,whole life carbon and sufficiency,assessment read selectively,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL049,09-possible-futures,materials-that-respond,"HygroSkin, developed by Achim Menges with Oliver David Krieg and Steffen Reichert, was presented in 2013 as a meteorosensitive pavilion. The University of Stuttgart describes apertures that respond to humidity through the behavior of wood-based components, without a separate powered actuator for that movement. This is a documented prototype and a compelling material investigation. It is not evidence that the same assembly is ready for every occupied-building envelope.",R39,prototype,research team page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL050,09-possible-futures,keeping-organisms-alive-in-a-facade,"SolarLeaf at the BIQ building in Hamburg was installed as a full-scale pilot in 2013. Arup describes a secondary facade of microalgae photobioreactors developed with Strategic Science Consult and Colt International. The system combines biomass production, solar heat collection and variable shading. The engineer's page reports a thermal contribution, but it does not supply a complete independent whole-life assessment in the account used here.",R40,pilot and developer-reported thermal outcome,engineering team page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL051,09-possible-futures,growing-materials-and-defining-the-product,"Research on bioinformed materials spans many different products and stages of maturity. The 2023 perspective by Stuart-Fox and colleagues discusses opportunities and limitations across this field, including fungal materials. It supports a cautious distinction between promising biological processes and construction products with established performance and supply chains.",R41,research maturity,open-access perspective read selectively,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL052,09-possible-futures,habitat-and-climate-adaptation,"Future architecture may become more attentive to the nonhuman occupants that already encounter it. Bird-safe glazing, less disruptive lighting, connected planting and suitable nesting or refuge opportunities can be considered during ordinary design. The US Fish and Wildlife Service's guidance identifies glass and nighttime lighting as hazards; the ecological question therefore includes avoiding harm, not only adding vegetation.",R47,glass and light hazards,agency guidance read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL053,10-practical-design-atlas,massing-orientation-and-shade,"Study exposure before selecting a facade treatment. The relevant sun directions depend on latitude, season, time of occupation and surrounding obstructions. A classroom used in the morning and a dwelling occupied in the evening may need different protection. The Department of Energy's passive solar guide provides a useful account of the coordination of solar collection, storage and control, but a project needs its own climate and occupancy basis.",R45,design guidance,guide read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL054,10-practical-design-atlas,plan-section-and-moving-air,"The open court, covered gallery and lifted roof offer different ways of organizing air and occupation. Use Gando as a prompt to draw the complete section: inlet, occupied zone, outlet, shade and rain protection. Use Eastgate as a reminder that a climatic cycle and a biological story are different kinds of explanation. Neither precedent supplies a universal ventilation depth or cooling percentage.",R33 R29,biological critique; design intent and construction,architect page read; author-uploaded paper read selectively,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL055,10-practical-design-atlas,thresholds-as-useful-rooms,"A porch, veranda, loggia or winter garden can extend the range of conditions in which a building is occupied. The historical galleries and Grand Parc's transformed dwelling edges suggest several possibilities, but the enclosure status must be explicit. An outdoor covered space, an unconditioned glazed buffer and a conditioned room should not share an ambiguous label.",R06 R38,design intent; internal date discrepancy retained; history and disputed reconstruction,architect page read; institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL056,10-practical-design-atlas,views-daylight-and-the-interior,"Draw views from the positions people actually occupy. Include a bed, a desk, a wheelchair and a child where relevant. A view is not simply the percentage of glazed wall. Its value depends on what is visible, at what distance, through which obstructions and with what opportunities for privacy and control. Ulrich's study makes the question worth investigating while offering no universal outcome guarantee.",R31,matched retrospective study,abstract only,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL057,10-practical-design-atlas,views-daylight-and-the-interior,"Materials can support sensory experience through texture, temperature, grain, sound and weathering. Villa Mairea offers a useful precedent for attention to the moving body and the hand. The transferable principle is to place material qualities where people encounter them, while resolving cleaning, durability and accessibility. Avoid assuming that every occupant prefers the same degree of sensory variation.",R23 R24,Aino Aalto attribution; spatial and material description,institutional page read,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL058,10-practical-design-atlas,views-daylight-and-the-interior,"Indoor planting should begin with plant needs and an achievable maintenance arrangement. Determine available light at the plant, water supply, drainage and replacement access. Identify whether supplemental lighting is needed and include its energy use. Choose plants for a stated experiential or ecological purpose, while keeping air-quality claims within the evidence. Ordinary pots do not replace ventilation or filtration.",R32,review and quantitative synthesis,abstract only,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
CL059,10-practical-design-atlas,envelope-structure-and-natural-geometry,"A natural reference can guide a structural exploration, but the translation must be explicit. At Sagrada Familia, the forest reading, branching support and geometric construction of surfaces can be examined separately. Frei Otto's experiments offer another route, in which physical behavior helps generate form. Neither route removes the need for engineering under the building's actual loads and conditions.",R19 R20 R28,design explanation; form finding and collaboration; geometry and light,indexed institutional text; direct request blocked; institutional biography; official PDF; pages 3-8 consulted,source-specific; interpretation and recommendation are author synthesis,only as stated in text; no inferred performance figure,cited web page; R19 pp 3-8 where applicable
